127.0.0.1 - - [12/Nov/2019:21:20:37 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:45 +0900] "GET /itjobs HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:46 +0900] "GET /itjobs/ HTTP/1.1" 200 46124
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:46 +0900] "GET /itjobs/assets/img/logo-footer.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:46 +0900] "GET /itjobs/resources/images/logo12.png HTTP/1.1" 200 33423
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:46 +0900] "GET /itjobs/userCounting HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:46 +0900] "GET /itjobs/resources/jobx/assets/fonts/LineIcons.ttf?ibaccn HTTP/1.1" 200 101616
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:47 +0900] "GET /itjobs/login.me HTTP/1.1" 200 13916
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:47 +0900] "GET /itjobs/assets/img/logo-footer.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:48 +0900] "GET /itjobs/userCounting HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:48 +0900] "GET /itjobs/resources/jobx/assets/img/banner.jpg HTTP/1.1" 200 354054
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:50 +0900] "GET /itjobs/resources/jobx/assets/css/bootstrap.min.css.map HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:51 +0900] "GET /itjobs/joinlaw.jo HTTP/1.1" 200 8295
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:51 +0900] "GET /itjobs/assets/img/logo-footer.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:52 +0900] "GET /itjobs/userCounting HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [12/Nov/2019:21:20:52 +0900] "GET /itjobs/resources/jobx/assets/css/bootstrap.min.css.map HTTP/1.1" 404 1148
