127.0.0.1 - - [15/Nov/2019:20:15:32 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:37 +0900] "GET /itjobs HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/ HTTP/1.1" 200 46124
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/line-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/colors/cyan.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:20:15:38 +0900] "GET /itjobs/resources/jobx/assets/css/color-switcher.css HTTP/1.1" 304 -
